Overs Remaining,0,1,2,3,4,5,6,7,8,9
4.5,27.5,27.2,26.75,25.9,24.5,24.799999999999997,21.450000000000003,16.9,11.45,8.05
4.33,26.533333333333335,26.266666666666666,25.833333333333332,25.033333333333335,23.7,24.0,20.833333333333336,16.466666666666665,11.2,8.033333333333333
4.17,25.566666666666666,25.333333333333332,24.916666666666668,24.166666666666668,22.900000000000002,23.2,20.21666666666667,16.03333333333333,10.95,8.016666666666666
4.0,24.6,24.4,24.0,23.3,22.1,22.4,19.6,15.6,10.7,8.0
3.83,23.616666666666667,23.433333333333334,23.05,22.383333333333333,21.25,21.583333333333332,18.933333333333334,15.116666666666667,10.399999999999999,7.9
3.67,22.633333333333333,22.466666666666665,22.1,21.46666666666667,20.400000000000002,20.766666666666666,18.266666666666666,14.633333333333333,10.1,7.8
3.5,21.65,21.5,21.15,20.55,19.55,19.95,17.6,14.149999999999999,9.8,7.7
3.33,20.666666666666668,20.533333333333335,20.2,19.633333333333333,18.7,19.133333333333333,16.933333333333334,13.666666666666666,9.5,7.6000000000000005
3.17,19.683333333333334,19.566666666666666,19.25,18.71666666666667,17.85,18.316666666666666,16.266666666666666,13.183333333333334,9.2,7.5
3.0,18.7,18.6,18.3,17.8,17.0,17.5,15.6,12.7,8.9,7.4
2.83,17.7,17.583333333333336,17.316666666666666,16.866666666666667,16.116666666666667,16.583333333333332,14.85,12.133333333333333,8.533333333333333,7.25
2.67,16.7,16.566666666666666,16.333333333333336,15.933333333333334,15.233333333333333,15.666666666666666,14.1,11.566666666666666,8.166666666666668,7.1000000000000005
2.5,15.7,15.55,15.350000000000001,15.0,14.35,14.75,13.35,11.0,7.800000000000001,6.95
2.33,14.7,14.533333333333335,14.366666666666667,14.066666666666666,13.466666666666667,13.833333333333334,12.6,10.433333333333334,7.433333333333334,6.8
2.17,13.7,13.516666666666667,13.383333333333333,13.133333333333333,12.583333333333332,12.916666666666668,11.85,9.866666666666667,7.066666666666666,6.65
2.0,12.7,12.5,12.4,12.2,11.7,12.0,11.1,9.3,6.7,6.5
